@relation selectividad-weka.filters.unsupervised.attribute.AddExpression-Ea15-a16-Nmejora

@attribute Año_académico numeric
@attribute convocatoria {J,S}
@attribute localidad {ALPEDRETE,ARANJUEZ,C,CERCEDILLA,CIEMPOZUELOS,COLLADO_VILLALBA,EL_ESCORIAL,FUENLABRADA,GALAPAGAR,GETAFE,GRIÑON,GUADARRAMA,LEGANES,LOS_PEÑASCALES,MORALZARZAL,PARLA,PINTO,SAN_LORENZO_DEL_ESCORIAL,TORREJON,TORREJON_DE_LA_CALZADA,TORRELODONES,VALDEMORO,VILLANUEVA_DE_LA_CAÑADA,XX}
@attribute opcion1ª {1,2,3,4,5}
@attribute nota_Lengua numeric
@attribute nota_Historia numeric
@attribute nota_Idioma numeric
@attribute des_Idioma {INGLES,FRANCES,ALEMAN}
@attribute des_asig1 {BIOLOGIA,DIB.ARTISTICO_II,H.ARTE,LATIN_II,MATEM.CCSS,MATEM.II,QUIMICA}
@attribute calif_asig1 numeric
@attribute des_asig2 {BIOLOGIA,C.TIERRA,DIB.ARTISTICO_II,ECONOMIA,FISICA,GEOGRAFIA,H.ARTE,H.FILOSOFIA,LATIN_II,MATEM.CCSS,QUIMICA}
@attribute calif_asig2 numeric
@attribute des_asig3 {BIOLOGIA,C.TIERRA,DIB.ARTISTICO_II,DIB.TECNICO,ECONOMIA,ELECTROTECNIA,F.DISEÑO,FISICA,GEOGRAFIA,H.ARTE,H.FILOSOFIA,IMAGEN,LATIN_II,MATEM.CCSS,MATEM.II,MECANICA,PLASTICA,QUIMICA,TEC.INDUSTRIAL_II}
@attribute calif_asig3 numeric
@attribute cal_prueba numeric
@attribute nota_bachi numeric
@attribute cal_final numeric
@attribute Presentado {SI,NO}
@attribute mejora numeric

@data
1993,J,LEGANES,4,3.3,6.9,6,INGLES,MATEM.CCSS,2,GEOGRAFIA,4.3,ECONOMIA,5.6,4.69,6.9,5.8,SI,-2.21
1993,J,LEGANES,1,3.8,3.3,4,INGLES,MATEM.II,2.5,FISICA,4,DIB.TECNICO,2.5,3.35,6.2,0,SI,-2.85
1993,J,LEGANES,1,4.3,5.4,4,INGLES,MATEM.II,3.5,FISICA,6.7,DIB.TECNICO,3.5,4.57,6.1,5.34,SI,-1.53
1993,J,LEGANES,2,6.5,6.1,6.5,INGLES,BIOLOGIA,5.1,QUIMICA,2.5,FISICA,0,4.45,7.1,5.78,SI,-2.65
1993,J,LEGANES,1,6,6.7,5.5,INGLES,MATEM.II,3.5,FISICA,5,DIB.TECNICO,5.5,5.37,7,6.19,SI,-1.63
1993,J,LEGANES,4,5,5.8,6,INGLES,MATEM.CCSS,1.3,GEOGRAFIA,4.3,ECONOMIA,5.2,4.6,6.7,5.65,SI,-2.1
1993,J,LEGANES,4,7.5,5.2,4.5,INGLES,MATEM.CCSS,6.8,GEOGRAFIA,3.5,ECONOMIA,6.5,5.67,6.6,6.14,SI,-0.93
1993,J,LEGANES,2,6.8,5.3,2.5,INGLES,BIOLOGIA,5.1,QUIMICA,4.1,C.TIERRA,5.3,4.85,6.2,5.53,SI,-1.35
1993,J,LEGANES,2,5.5,6.8,4,INGLES,BIOLOGIA,6.1,QUIMICA,3.8,C.TIERRA,4.8,5.17,7.2,6.19,SI,-2.03
1993,J,LEGANES,1,6.3,5.9,4,INGLES,MATEM.II,0.5,FISICA,3,BIOLOGIA,5.6,4.22,6.2,5.21,SI,-1.98
1993,J,LEGANES,4,6.5,4.9,3.5,INGLES,MATEM.CCSS,1,GEOGRAFIA,5.5,ECONOMIA,3,4.07,6.4,5.24,SI,-2.33
1993,J,LEGANES,1,7.5,6.9,5,INGLES,MATEM.II,6,FISICA,9.4,DIB.TECNICO,7,6.97,9.1,8.04,SI,-2.13
1993,J,LEGANES,1,5,3.9,4,INGLES,MATEM.II,2,FISICA,2.2,DIB.TECNICO,4,3.52,6.2,0,SI,-2.68
1993,J,LEGANES,2,5.5,4.2,5,INGLES,BIOLOGIA,5,QUIMICA,3,C.TIERRA,6.3,4.84,7.7,6.27,SI,-2.86
1993,J,LEGANES,1,4.5,1.2,6.3,INGLES,MATEM.II,1,FISICA,4.1,DIB.TECNICO,5.5,3.77,6.9,0,SI,-3.13
1993,J,LEGANES,4,4.3,3,3.3,INGLES,MATEM.CCSS,2.5,GEOGRAFIA,1.1,ECONOMIA,3.5,2.95,5.4,0,SI,-2.45
1993,J,LEGANES,2,3.5,6.2,3.3,INGLES,BIOLOGIA,3.1,QUIMICA,3.6,FISICA,3.5,3.87,6.8,0,SI,-2.93
1993,J,LEGANES,1,4.5,6.4,7.8,INGLES,MATEM.II,1,FISICA,4,DIB.TECNICO,2,4.28,7.2,5.74,SI,-2.92
1993,J,LEGANES,1,5.8,6.2,6,INGLES,MATEM.II,1.5,FISICA,2.5,QUIMICA,3.3,4.22,5.9,5.06,SI,-1.68
1993,J,LEGANES,2,4.8,5.4,2,INGLES,BIOLOGIA,2.9,QUIMICA,1.9,MATEM.II,1,3,5.8,0,SI,-2.8
1993,J,LEGANES,1,6,6.8,8,INGLES,MATEM.II,8,FISICA,5.7,DIB.TECNICO,6,6.75,8.1,7.43,SI,-1.35
1993,J,LEGANES,1,4.5,5.1,3.5,INGLES,MATEM.II,5,FISICA,5,DIB.TECNICO,4,4.52,6.4,5.46,SI,-1.88
1993,J,LEGANES,3,7,7.1,7.5,INGLES,LATIN_II,7,H.ARTE,2,H.FILOSOFIA,8,6.44,8.1,7.27,SI,-1.66
1993,J,LEGANES,4,5.5,5,3.5,INGLES,MATEM.CCSS,3,GEOGRAFIA,5.1,ECONOMIA,3.8,4.32,7.1,5.71,SI,-2.78
1993,J,LEGANES,1,5,2.9,7,INGLES,MATEM.II,3.5,FISICA,2,DIB.TECNICO,3,3.9,6.2,0,SI,-2.3
1993,J,LEGANES,2,6.5,5.9,4.8,INGLES,BIOLOGIA,4.8,QUIMICA,2.4,MATEM.II,2,4.4,5.9,5.15,SI,-1.5
1993,J,LEGANES,2,3.5,5.6,4.3,INGLES,BIOLOGIA,2.9,QUIMICA,2.8,C.TIERRA,3.4,3.75,5.7,0,SI,-1.95
1993,J,LEGANES,2,5.8,6.5,8,INGLES,BIOLOGIA,5,QUIMICA,1.7,MATEM.II,0.5,4.59,7.1,5.85,SI,-2.51
1993,J,LEGANES,2,7,4.9,4.8,INGLES,BIOLOGIA,5.9,QUIMICA,3.8,FISICA,6,5.4,8.9,7.15,SI,-3.5
1993,J,LEGANES,2,5,4.8,7,INGLES,BIOLOGIA,3.8,QUIMICA,3.1,FISICA,2.5,4.37,7.1,5.74,SI,-2.73
1993,J,LEGANES,1,5.3,7.7,7.5,INGLES,MATEM.II,1,FISICA,2.1,DIB.TECNICO,3.5,4.52,6.5,5.51,SI,-1.98
1993,J,LEGANES,1,5.5,6,4.3,INGLES,MATEM.II,5.5,FISICA,2,DIB.TECNICO,3,4.39,6.2,5.3,SI,-1.81
1993,J,LEGANES,1,4,7.9,4.3,INGLES,MATEM.II,4.5,FISICA,4,DIB.TECNICO,3.5,4.7,7,5.85,SI,-2.3
1993,J,LEGANES,1,7.3,7.5,9,INGLES,MATEM.II,4.5,FISICA,8,DIB.TECNICO,5.5,6.97,7.8,7.39,SI,-0.83
1993,J,LEGANES,1,8.8,7.7,7,INGLES,MATEM.II,10,FISICA,7,DIB.TECNICO,9.5,8.33,8.8,8.57,SI,-0.47
1993,J,LEGANES,1,9,7.8,8,INGLES,MATEM.II,3,FISICA,3.2,DIB.TECNICO,4.5,5.92,7.9,6.91,SI,-1.98
